Quant Method,Filename,comp_method,soil_type,rs,treatment,env_rep,tech_rep,Sample Type,Area,Height,cali conc,calc conc,RT,SN
MUBph_315nm,SH_MB_H2O_3_3,SH,MB,MUBph,SH_MB,C,3,Sample,4408015.286,142671.0258,NA,0.437041488,4.496666667,162.5336575
MUBph_315nm,SH_MB_H2O_4_1,SH,MB,MUBph,SH_MB,D,1,Sample,5216550.3,221487.8626,NA,0.517205308,4.81,1536.762037
MUBph_315nm,SH_MB_H2O_4_2,SH,MB,MUBph,SH_MB,D,2,Sample,5061208.117,259899.8109,NA,0.501803597,5.063333333,2958.286778
MUBph_315nm,SH_MB_H2O_4_3,SH,MB,MUBph,SH_MB,D,3,Sample,4334992,139036.9588,NA,0.429801448,4.516666667,111.8225158
MUBph_315nm,SH_MB_H2O_5_1,SH,MB,MUBph,SH_MB,E,1,Sample,5472179.611,244820.9111,NA,0.542550187,4.866666667,2000.850858
MUBph_315nm,SH_MB_H2O_5_2,SH,MB,MUBph,SH_MB,E,2,Sample,4874345.478,251625.6543,NA,0.483276727,5.233333333,398.1317111
MUBph_315nm,SH_MB_H2O_5_3,SH,MB,MUBph,SH_MB,E,3,Sample,4702683.058,150077.1844,NA,0.466256913,4.676666667,101.9194348
MUBph_315nm,SH_MB_H2O_6_1,SH,MB,MUBph,SH_MB,F,1,Sample,4812782.4,229933.3657,NA,0.477172932,4.843333333,4163.830205
MUBph_315nm,SH_MB_H2O_6_2,SH,MB,MUBph,SH_MB,F,2,Sample,4932012.811,247725.4949,NA,0.48899427,5.116666667,7165.094064
MUBph_315nm,SH_MB_H2O_6_3,SH,MB,MUBph,SH_MB,F,3,Sample,4056813.113,137050.8102,NA,0.402220846,4.636666667,95.92369227
MUBph_315nm,SH_mc_H2O_1_1,SH,mc,MUBph,SH_mc,A,1,Sample,4842242.8,227720.8617,NA,0.480093843,4.92,691.9331651
MUBph_315nm,SH_mc_H2O_1_2,SH,mc,MUBph,SH_mc,A,2,Sample,3861809.943,171265.5512,NA,0.382886867,5.186666667,144.0406058
MUBph_315nm,SH_mc_H2O_1_3,SH,mc,MUBph,SH_mc,A,3,Sample,3361078.444,111358.6483,NA,0.333240842,4.706666667,52.7126804
MUBph_315nm,SH_mc_H2O_2_1,SH,mc,MUBph,SH_mc,B,1,Sample,4676556.226,239166.2626,NA,0.463666516,4.833333333,418.6491585
MUBph_315nm,SH_mc_H2O_2_2,SH,mc,MUBph,SH_mc,B,2,Sample,3788938.8,191610.3754,NA,0.375661912,5.256666667,235.9034477
MUBph_315nm,SH_mc_H2O_2_3,SH,mc,MUBph,SH_mc,B,3,Sample,3422991.229,131402.4415,NA,0.339379308,4.796666667,93.91216065
MUBph_315nm,SH_mc_H2O_3_1,SH,mc,MUBph,SH_mc,C,1,Sample,4604698.031,245904.58,NA,0.456541992,4.86,3300.444064
